               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1068,            0.035147,             0.10097,           0.0015834,             0.18412,           0.0021907,          0.00055321,            0.088109,            0.025786,            0.096382,              0.0704,           0.0032889,           0.0032889
                   1,            0.074091,            0.035723,            0.092024,             0.61204,            0.028302,            0.023122,            0.009579,            0.073131,            0.021561,            0.090129,            0.040269,           0.0064911,           0.0064911
                   2,            0.067486,            0.030316,            0.086861,             0.70973,            0.040822,            0.029529,            0.017057,            0.058772,            0.020953,             0.08595,            0.010006,           0.0095613,           0.0095613
                   3,            0.061441,            0.028923,            0.084497,             0.68234,            0.053712,            0.023767,            0.010455,            0.059883,            0.020368,            0.083855,            0.009406,            0.009406,            0.009406
                   4,            0.057353,            0.028479,            0.082329,             0.69202,            0.069416,             0.04011,            0.022147,              0.0518,             0.02053,            0.082967,            0.009406,            0.009406,            0.009406
                   5,            0.053144,            0.027678,            0.081568,             0.60687,             0.07039,            0.045951,            0.028025,            0.052043,            0.020487,            0.082427,            0.009208,            0.009208,            0.009208
                   6,            0.050665,            0.025832,            0.080137,             0.66918,            0.072694,            0.058795,            0.039621,            0.048386,             0.02023,            0.081528,             0.00901,             0.00901,             0.00901
                   7,            0.048478,             0.02734,            0.079873,             0.66673,            0.068753,            0.041936,              0.0226,            0.049038,            0.020799,            0.081125,            0.008812,            0.008812,            0.008812
                   8,            0.047921,            0.025674,            0.078437,             0.64071,            0.095593,             0.06111,            0.042612,            0.045061,            0.019759,            0.080429,            0.008614,            0.008614,            0.008614
                   9,            0.046434,             0.02526,            0.077675,             0.63566,            0.085159,            0.067582,             0.04507,            0.045316,            0.021706,            0.079898,            0.008416,            0.008416,            0.008416
                  10,            0.045291,            0.025978,            0.077279,             0.67145,            0.088154,            0.097972,            0.070909,            0.044512,            0.020701,            0.079264,            0.008218,            0.008218,            0.008218
                  11,            0.044605,            0.025968,            0.074927,             0.59185,             0.10208,            0.095931,            0.062933,            0.044271,            0.020209,            0.078399,             0.00802,             0.00802,             0.00802
                  12,            0.044382,            0.025087,            0.074519,             0.63849,            0.092601,             0.10007,            0.070274,            0.043501,            0.020276,            0.077426,            0.007822,            0.007822,            0.007822
                  13,            0.043105,            0.024497,            0.073402,             0.64448,             0.10026,            0.097804,            0.069563,            0.041886,            0.020039,            0.077236,            0.007624,            0.007624,            0.007624
